Best Degree, 10, Best Lamda,0.0
,,,
,,,
Degree of Polynomial, Lamda, Training Data, Testing Data
,,,
,,,
0, -5.0, 0.5862769602225527, 0.685497806048705
0, -4.0, 0.4499603401309306, 0.5036296559774436
0, -3.0, 0.3810800140888715, 0.40058568245065507
0, -2.0, 0.34727362066454853, 0.34020756320487583
0, -1.0, 0.3326818378283756, 0.304358399711538
0, 0.0, 0.3289767142869022, 0.28326087381420234
0, 1.0, 0.3315497167462587, 0.2713402076436736
0, 2.0, 0.3377462374619871, 0.26527285490334523
0, 3.0, 0.34599003667121875, 0.263004762578814
0, 4.0, 0.35532425947071283, 0.26322867938238026
0, 5.0, 0.36515956137160316, 0.2650924635368336
0, 6.0, 0.37513050234677814, 0.2680297123827996
0, 7.0, 0.3850109900684439, 0.27165802932294636
0, 8.0, 0.3946631150221643, 0.27571610673530744
0, 9.0, 0.4040054660017379, 0.2800238149276579
0, 10.0, 0.41299312112303305, 0.28445631705098895
,,,
,,,
1, -5.0, 0.4353713090684519, 0.5309201195640812
1, -4.0, 0.38138377517278366, 0.44007571642517584
1, -3.0, 0.3620919795054554, 0.38560057746000953
1, -2.0, 0.39585834128047814, 0.3722437464715597
1, -1.0, 2.8256677850289824, 2.1149965061926843
1, 0.0, 0.2384924768156118, 0.28247370797406585
1, 1.0, 0.25383095505679937, 0.25785800005136617
1, 2.0, 0.26784939965551025, 0.2508487101660733
1, 3.0, 0.2796920508292313, 0.24747367830945244
1, 4.0, 0.2907086529806065, 0.24622294587034235
1, 5.0, 0.3013307868258449, 0.246463863132874
1, 6.0, 0.3116738873135647, 0.24778556237217986
1, 7.0, 0.32175189611049554, 0.2498920423205063
1, 8.0, 0.3315499937766401, 0.25256411026517844
1, 9.0, 0.3410495288976458, 0.2556377927391965
1, 10.0, 0.3502360082863056, 0.258989764361749
,,,
,,,
2, -5.0, 0.41058185670150027, 0.5072092427051826
2, -4.0, 0.3980619041244802, 0.4544485668367167
2, -3.0, 0.4654289934650188, 0.46574703158595687
2, -2.0, 1.4624566763016948, 1.1805976582496196
2, -1.0, 0.3673326119026577, 0.4863734142141465
2, 0.0, 0.014915172520408639, 0.06093858243686544
2, 1.0, 0.1921243870034082, 0.2284816609822994
2, 2.0, 0.21163542703980437, 0.22734907250993253
2, 3.0, 0.2259964521797506, 0.22589374199522833
2, 4.0, 0.2386229795764579, 0.22545645600997508
2, 5.0, 0.25038115022643836, 0.22600875535189732
2, 6.0, 0.2615838684366323, 0.22738072354171485
2, 7.0, 0.27235658154573394, 0.22939974946322547
2, 8.0, 0.28275145405331265, 0.2319165036554603
2, 9.0, 0.2927908982975158, 0.23480818245178012
2, 10.0, 0.30248569118796687, 0.23797594751111162
,,,
,,,
3, -5.0, 0.42423213204930676, 0.5200642827831481
3, -4.0, 0.4808746970823249, 0.5255264850299057
3, -3.0, 0.9518333810452341, 0.855342067633974
3, -2.0, 4.771741170745739, 4.394399828651052
3, -1.0, 0.23922841262483951, 0.3429062481388941
3, 0.0, 0.0044996113485673665, 0.07509217221935438
3, 1.0, 0.1524001492992995, 0.20153849148568548
3, 2.0, 0.17394459140982468, 0.2061405398751043
